brand,product_name,ingredients
AmorePacific,Age Spot Brightening Pen,"WATER,BUTYLENE GLYCOL,ALCOHOL,DIPROPYLENE GLYCOL,PEG-75,GLYCERETH-26,ASCORBYL GLUCOSIDE,CAMELLIA SINENSIS LEAF EXTRACT,PANAX GINSENG ROOT EXTRACT,GLYCYRRHIZA GLABRA (LICORICE) ROOT EXTRACT,MAGNOLIA OBOVATA BARK EXTRACT,EQUISETUM ARVENSE EXTRACT,CALCIUM PANTETHEINE SULFONATE,BETAINE,BIOSACCHARIDE GUM-1,CARBOMER,PEG-60 HYDROGENATED CASTOR OIL,SODIUM CITRATE,CELLULOSE GUM,CITRIC ACID,TRIETHANOLAMINE,POTASSIUM HYDROXIDE,DISODIUM EDTA,METHYLPARABEN,PROPYLPARABEN,FRAGRANCE"
AmorePacific,All Day Balancing Care Serum,"CAMELLIA SINENSIS LEAF WATER,PHYLLOSTACHIS BAMBUSOIDES JUICE,PANAX GINSENG ROOT EXTRACT,BUTYLENE GLYCOL,ALCOHOL,CARICA PAPAYA (PAPAYA) FRUIT EXTRACT,WATER,BETULA PLATYPHYLLA JAPONICA JUICE,BETAINE,HIBISCUS ABELMOSCHUS SEED EXTRACT,DIPOTASSIUM GLYCYRRHIZATE,SODIUM HYALURONATE,BETA-GLUCAN,NATTO GUM,TRICHOLOMA MATSUTAKE EXTRACT,CAMELLIA SINENSIS CALLUS CULTURE CONDITIONED MEDIA,CAMELLIA SINENSIS CALLUS CULTURE EXTRACT,MAGNOLIA OBOVATA BARK EXTRACT,THEANINE,PEG/PPG-17/6 COPOLYMER,HYDROGENATED LECITHIN,HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER,GLYCERIN,CARBOMER,CELLULOSE GUM,PROPANEDIOL,XANTHAN GUM,1 2-heXANEDIOL,TROMETHAMINE,ETHYLHEXYLGLYCERIN,DISODIUM EDTA,PHENOXYETHANOL,FRAGRANCE"
AmorePacific,Bio-Enzyme Refining Complex,"PANAX GINSENG ROOT EXTRACT,CYCLOPENTASILOXANE,DIMETHICONE,BUTYLENE GLYCOL,GLYCERIN,POLYSILICONE-11,PHYLLOSTACHIS BAMBUSOIDES JUICE,PEG-10 DIMETHICONE,PUNICA GRANATUM EXTRACT,CASTANEA SATIVA (CHESTNUT) SEED EXTRACT,HONEY EXTRACT,CARUM PETROSELINUM (PARSLEY) EXTRACT,TRICHOLOMA MATSUTAKE EXTRACT,VITIS VINIFERA (GRAPE) LEAF EXTRACT,GLYCYRRHIZA GLABRA (LICORICE) ROOT EXTRACT,CAFFEINE,DAUCUS CAROTA SATIVA (CARROT) ROOT EXTRACT,HYDROLYZED GINSENG SAPONINS,BETAINE,SODIUM PCA,BHT,SORBITOL,SERINE,GLYCINE,GLUTAMIC ACID,ZINC GLUCONATE,MAGNESIUM ASPARTATE,LYSINE,ARGININE,ALANINE,THREONINE,COPPER GLUCONATE,CALCIUM GLUCONATE,PROLINE,ACETYL GLUCOSAMINE,THEANINE,SODIUM CHLORIDE,POLYMETHYL METHACRYLATE,NYLON-12,WATER,METHYL METHACRYLATE/ACRYLONITRILE COPOLYMER,DIMETHICONE/PEG-10/15 CROSSPOLYMER,POLYSORBATE 40,ISOHEXADECANE,AMMONIUM POLYACRYLOYLDIMETHYL TAURATE,PROPYLENE GLYCOL,HYDROGENATED LECITHIN,ETHYL HEXANEDIOL,PEG-5 RAPESEED STEROL,PAPAIN,PEG-75,DISODIUM EDTA,METHYLPARABEN,PROPYLPARABEN,FRAGRANCE"
AmorePacific,Color Control Cushion Compact SPF50,"Phyllostachis Bambusoides Juice,Cyclopentasiloxane,Cyclohexasiloxane,Peg-10 Dimethicone,Phenyl Trimethicone,Butylene Glycol,Butylene Glycol Dicaprylate/Dicaprate,Alcohol,Arbutin,Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone,Acrylates/Ethylhexyl Acrylate/Dimethicone Methacrylate Copolymer,Polyhydroxystearic Acid,Sodium Chloride,Polymethyl Methacrylate,Aluminium Hydroxide,Stearic Acid,Disteardimonium Hectorite,Triethoxycaprylylsilane,Ethylhexyl Palmitate,Lecithin,Isostearic Acid,Isopropyl Palmitate,Phenoxyethanol,Polyglyceryl-3 Polyricinoleate,Acrylates/Stearyl Acrylate/Dimethicone Methacrylate Copolymer,Dimethicone,Disodium Edta,Trimethylsiloxysilicate,Ethylhexyglycerin,Dimethicone/Vinyl Dimethicone Crosspolymer,Aqua/Water/Eau,Silica,Camellia Japonica Seed Oil,Camillia Sinensis Leaf Extract,Caprylyl Glycol,1 2-hexanediol,Parfum/Fragrance,Titanium Dioxide,Iron Oxides (CI 77492,CI 77491,CI77499)"
AmorePacific,Future Response Age Defense Cr̬me,"CAMELLIA SINENSIS LEAF WATER,DICAPRYLYL CARBONATE,CAPRYLIC/CAPRIC TRIGLYCERIDE,BUTYROSPERMUM PARKII (SHEA BUTTER),BUTYLENE GLYCOL,GLYCERETH-26,ALCOHOL,BEHENYL ALCOHOL,PEG/PPG/POLYBUTYLENE GLYCOL-8/5/3 GLYCERIN,MANGIFERA INDICA (MANGO) SEED OIL,HYDROGENATED C6-14 OLEFIN POLYMERS,ARACHIDYL ALCOHOL,PENTAERYTHRITYL TETRAISOSTEARATE,PENTAERYTHRITYL TETRAETHYLHEXANOATE,HYDROGENATED POLYDECENE,PEG/PPG-17/6 COPOLYMER,TRICHOLOMA MATSUTAKE EXTRACT,CAMELLIA SINENSIS LEAF EXTRACT,CAMELLIA SINENSIS SEED OIL/PALM OIL AMINOPROPANEDIOL ESTERS,SODIUM HYALURONATE,XYLITYLGLUCOSIDE,ANHYDROXYLITOL,XYLITOL,PUNICA GRANATUM EXTRACT,OPUNTIA COCCINELLIFERA,IRIS FLORENTINA ROOT EXTRACT,LAGERSTROEMIA INDICA FLOWER EXTRACT,GOSSYPIUM HERBACEUM (COTTON) EXTRACT,CENTELLA ASIATICA EXTRACT,ORYZA SATIVA (RICE) BRAN EXTRACT,ZINGIBER OFFICINALE (GINGER) ROOT EXTRACT,GLYCINE SOJA (SOYBEAN) SEED EXTRACT,MAGNOLIA OBOVATA BARK EXTRACT,NELUMBO NUCIFERA FLOWER EXTRACT,CURCUMIN,ARACHIDYL GLUCOSIDE,POLYACRYLATE-13,POLYISOBUTENE,NIACINAMIDE,PEG-100 STEARATE,GLYCERYL STEARATE,CARBOMER,TRIETHANOLAMINE,POLYSORBATE 20,GLYCERIN,CAPRYLYL GLYCOL,1 2-heXANEDIOL,ETHYLHEXYLGLYCERIN,DISODIUM EDTA,PHENOXYETHANOL,METHYLPARABEN,ETHYLPARABEN,YELLOW 5 (CI 19140),YELLOW 6 (CI 15985),FRAGRANCE"
AmorePacific,Future Response Age Defense Creme SPF 30,"WATER,BUTYLENE GLYCOL,OCTOCRYLENE,ETHYLHEXYL METHOXYCINNAMATE,ETHYLHEXYL SALICYLATE,TITANIUM DIOXIDE,C12-15 ALKYL BENZOATE,CYCLOPENTASILOXANE,CETEARYL ALCOHOL,CYCLOHEXASILOXANE,1 2-heXANEDIOL,TRICHOLOMA MATSUTAKE EXTRACT,CAMELLIA SINENSIS LEAF EXTRACT,CAMELLIA SINENSIS LEAF POWDER,METHOXY PEG-114/POLYEPSILON CAPROLACTONE,PEG-100 STEARATE,GLYCERYL STEARATE,ALUMINUM STEARATE,POLYACRYLATE-13,POLYHYDROXYSTEARIC ACID,ALUMINA,HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER,POLYISOBUTENE,STEARIC ACID,CARBOMER,POLYSORBATE 20,EPIGALLOCATECHIN GALLATE,POLYGLUTAMIC ACID,THEANINE,CAPRYLYL GLYCOL,ETHYLHEXYLGLYCERIN,DISODIUM EDTA,FRAGRANCE,IRON OXIDES (CI 77492),IRON OXIDES (CI 77491)"
AmorePacific,Future Response Age Defense Dual Eye Cr̬me -Day SPF25,"CAMELLIA SINENSIS LEAF WATER,BUTYLENE GLYCOL,C12-15 ALKYL BENZOATE,ALCOHOL,CYCLOPENTASILOXANE,CETEARYL ALCOHOL,CYCLOHEXASILOXANE,1 2-heXANEDIOL,GLYCERYL STEARATE,GLYCERYL CAPRYLATE,CAMELLIA SINENSIS LEAF EXTRACT,DISODIUM EDTA,PRUNUS MUME FRUIT EXTRACT,METHOXY PEG-114/POLYEPSILON CAPROLACTONE,TRICHOLOMA MATSUTAKE EXTRACT,STEARIC ACID,ALUMINA,ALUMINUM STEARATE,ETHYLHEXYLGLYCERIN,WATER,CARBOMER,KAOLIN,CAPRYLYL GLYCOL,PHENOXYETHANOL,POLYSORBATE 20,POLYACRYLATE-13,POLYISOBUTENE,POLYHYDROXYSTEARIC ACID,PEG-100 STEARATE,HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER,FRAGRANCE/Active Ingredients: ETHYLHEXYL METHOXYCINNAMATE 7%,ETHYLHEXYL SALICYLATE 4.5%,OCTOCRYLENE 8.0%,TITANIUM DIOXIDE 4.4%"
AmorePacific,Future Response Age Defense Dual Eye Cr̬me -Night,"CAMELLIA SINENSIS LEAF WATER,BUTYLENE GLYCOL,GLYCERIN,HYDROGENATED POLY(C6-14 OLEFIN),ALCOHOL,PENTAERYTHRITYL TETRAETHYLHEXANOATE,WATER,TRIOCTYLDODECYL CITRATE,POLYGLYCERYL-3 METHYLGLUCOSE DISTEARATE,GLYCERYL STEARATE,BEHENYL ALCOHOL,DIMETHICONE,PHYTOSTERYL/BEHENYL/OCTYLDODECYL LAUROYL GLUTAMATE,DIPALMITOYL HYDROXYPROLINE,THEANINE,CAMELLIA SINENSIS LEAF EXTRACT,TRICHOLOMA MATSUTAKE EXTRACT,CAMELLIA SINENSIS LEAF POWDER,SODIUM HYALURONATE,CAFFEINE,POLYGLUTAMIC ACID,EPIGALLOCATECHIN GALLATE,KAOLIN,TRISILOXANE,PEG-100 STEARATE,CETEARYL ALCOHOL,HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER,POLYACRYLATE-13,POLYISOBUTENE,ETHYLHEXYLGLYCERIN,POLYSORBATE 20,1 2-heXANEDIOL,CAPRYLYL GLYCOL,PHENOXYETHANOL,DISODIUM EDTA,FRAGRANCE"
AmorePacific,Green Tea Seed Treatment Oil,"CAPRYLIC/CAPRIC TRIGLYCERIDE,DICAPRYLYL CARBONATE,HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL,SQUALANE,CAMELLIA SINENSIS SEED OIL,CAMELLIA SINENSIS SEED OIL/PALM OIL AMINOPROPANEDIOL ESTERS,TOCOPHEROL,FRAGRANCE"
AmorePacific,Intensive Vitalizing Eye Essence,"CAMELLIA SINENSIS LEAF WATER,BUTYLENE GLYCOL,GLYCERIN,GLYCERETH-26,AVENA SATIVA (OAT) KERNEL EXTRACT,ALCOHOL,METHYL TRIMETHICONE,DIETHOXYETHYL SUCCINATE,GLYCERYL POLYMETHACRYLATE,WATER,CAMELLIA SINENSIS LEAF EXTRACT,NIACINAMIDE,ASPERGILLUS FERMENT,LACTOBACILLUS/WATER HYACINTH FERMENT,CAFFEINE,MANNITOL,HYDROGENATED LECITHIN,BIS-PEG-18 METHYL ETHER DIMETHYL SILANE,ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,PEG-60 HYDROGENATED CASTOR OIL,CAPRYLIC/CAPRIC TRIGLYCERIDE,BEHENYL ALCOHOL,POLYGLYCERYL-10 PENTASTEARATE,CETEARYL ALCOHOL,SODIUM STEAROYL LACTYLATE,CETEARYL GLUCOSIDE,ETHYLHEXYLGLYCERIN,CAPRYLYL GLYCOL,GLYCERYL CAPRYLATE,TROMETHAMINE,DISODIUM EDTA,PHENOXYETHANOL,FRAGRANCE"
